BLANKS,LOG2FC,LOG10TTEST,TTEST,GROUP
0,-0.065053098,0.485704443,0.326810166,NotImputed (0%)
0,0.052263359,0.269197346,0.538025245,NotImputed (0%)
0,-0.169014928,1.084538154,0.082311752,NotImputed (0%)
0,-0.014140875,0.080386591,0.831023699,NotImputed (0%)
0,-0.045461724,0.059974146,0.871015441,NotImputed (0%)
0,-0.16514719,0.790430693,0.162020253,NotImputed (0%)
0,0.146128952,0.269472579,0.537684381,NotImputed (0%)
0,-0.08347639,0.232878882,0.584953196,NotImputed (0%)
0,-0.395821594,1.938108587,0.011531649,NotImputed (0%)
0,-0.333070905,1.514230737,0.030603371,NotImputed (0%)
0,0.113171626,0.18486279,0.653336933,NotImputed (0%)
0,0.023147234,0.038340401,0.915502635,NotImputed (0%)
0,-0.098462491,0.313257693,0.486118676,NotImputed (0%)
0,-0.113974432,0.34718008,0.449593392,NotImputed (0%)
0,0.330657568,1.701081965,0.019902977,NotImputed (0%)
0,-0.372539269,1.712554018,0.019384115,NotImputed (0%)
0,-0.537465835,0.680706387,0.208590062,NotImputed (0%)
0,-0.014372372,0.057463749,0.876064841,NotImputed (0%)
0,-0.04891531,0.140394455,0.723778279,NotImputed (0%)
0,-0.067323471,0.117756539,0.762506344,NotImputed (0%)
0,-0.060598831,0.366540304,0.429991327,NotImputed (0%)
0,-0.053386704,0.152328852,0.704159671,NotImputed (0%)
0,-0.286538602,0.457682293,0.348592234,NotImputed (0%)
0,0.104183657,0.555762814,0.27812318,NotImputed (0%)
0,-0.240890845,0.924478455,0.118993036,NotImputed (0%)
0,-0.062210055,0.214634717,0.610049792,NotImputed (0%)
1,-0.35324552,0.097255839,0.799363219,NotImputed (0%)
0,-0.139480677,0.497501343,0.318052386,NotImputed (0%)
0,-0.424156901,1.130806776,0.073993441,NotImputed (0%)
0,-0.144949738,0.263813462,0.544736578,NotImputed (0%)
0,-0.087417177,0.234388783,0.582923035,NotImputed (0%)
0,-0.063834829,0.386860477,0.410335908,NotImputed (0%)
0,-0.192042368,0.326686002,0.47131797,NotImputed (0%)
0,-0.22107052,1.624599655,0.023735607,NotImputed (0%)
0,-0.340667322,1.524377627,0.029896639,NotImputed (0%)
0,-0.141401177,0.200320888,0.63049132,NotImputed (0%)
0,0.314290439,0.642196195,0.227931215,NotImputed (0%)
0,-0.159049335,0.255010406,0.555890937,NotImputed (0%)
0,0.028211471,0.293082447,0.509234188,NotImputed (0%)
0,-0.131643953,0.466725655,0.341408513,NotImputed (0%)
0,-0.161219616,0.484505716,0.327713463,NotImputed (0%)
0,0.068586358,0.173132308,0.671224334,NotImputed (0%)
