logFC,P.Value,adj.P.Val,symbol,FC,logPval
-0.226699200833238,0.020787502109255,0.0397539503147241,NDUFS1,-0.95650766545965,1.68219769370566
-0.306904586858394,0.0209637476088544,0.0400248448571692,ACSL4,-1.03495708091381,1.67853107758715
0.39683536172317,0.0212583474334327,0.0405204414834952,ARID1A,1.1267360341976,1.6724704993817
-0.167198466790797,0.0214764196555152,0.0408687788510379,RPS13,-0.900233286936121,1.66803811838482
-0.193241709354854,0.0215269096247303,0.0408975934906616,SUCLA2,-0.924670319134592,1.66701831245517
0.236932869513481,0.0215918550679874,0.04095373166174,EIF4G2,0.966347723906352,1.6657100435768
-0.158338083831808,0.0220008182356367,0.0416611238930141,U2SURP,-0.891986644541555,1.65756116696808
-0.27263991073346,0.022368608141788,0.0422883653922365,RPRD1B,-1.0010654396591,1.65036103848482
0.224335491085647,0.0224314351458068,0.0423379616047284,PDCD4,0.954241729411491,1.64914293970433
0.1881484196531,0.0226823748123043,0.0427418691495702,HSP90AB1,0.919867704917182,1.64431147738557
-0.193720576294972,0.0228341766619337,0.0429579551184672,LEMD3,-0.925122448787849,1.64141464324793
-0.261386436246784,0.023123691443333,0.0434319983765199,ACTR1A,-0.990058594580562,1.63594283437355
0.140560716109842,0.0231676773163251,0.0434440885818285,CAD,0.875541837083158,1.63511750437432
-0.220964910303056,0.0234006884356951,0.0438100267315522,KRR1,-0.951015000178035,1.63077136569133
-0.216375610207344,0.0235112774738999,0.0439459580570311,PRPF38B,-0.946629907089918,1.62872377305316
-0.156165208494912,0.0242243121764588,0.0452056922389723,RPL12,-0.889969428860898,1.61574854543135
0.176359328269747,0.0244513002764818,0.0455558042188235,STRAP,0.908795300513734,1.61169804092131
-0.169868017613041,0.0245024156758911,0.0455776445932573,UBTF,-0.902724565655341,1.61079109673783
-0.227573843146818,0.0250469122168406,0.0465156941169897,KHDRBS1,-0.957346779121764,1.60124580631744
-0.207833633475012,0.0251442375077234,0.0466216070455705,DOCK2,-0.938493490553646,1.59956152970737
-0.213980861043755,0.0252116955497832,0.0466718908017586,RCC1,-0.944345521650056,1.5983979459478
-0.157847763021991,0.0254381479634141,0.0470158741112941,RPL7,-0.891531272541441,1.5945145108911
0.216238046222383,0.0261416523215628,0.0482390617799811,HNRNPH1,0.94649861228831,1.58266696566679
0.176591028285022,0.0268068032586253,0.0493340021547872,PPID,0.909012327895996,1.57175497303374
0.185563892741197,0.0268306925469669,0.0493340021547872,EIF4G1,0.91743506639969,1.57136811728541
-0.159379621888597,0.0268629398077061,0.0493340021547872,LIG3,-0.892954286382105,1.57084646104927
0.23697733301999,0.0269886290756517,0.0494862818391903,RNASEH2B,0.966390582975505,1.56881917546575
0.441702287179298,0.0274037643444884,0.0501199307683864,MBD1,1.1741396403081,1.56218977580192
0.135457175546062,0.0274208437133868,0.0501199307683864,RNF213,0.870845519193944,1.5619191865111
-0.245221665834135,0.0275107137097164,0.0502048829055865,CYB5R1,-0.974353331865706,1.56049814257394
-0.174488167285563,0.0280567137331249,0.0511206579357883,TM9SF3,-0.907043491199687,1.55196319899371
-0.154130690493734,0.0283964409049755,0.0516583052312212,MTCH2,-0.888082489094083,1.54673608925547
0.144810840792708,0.0285161656277079,0.0517946681809388,ADAR,0.879461193962333,1.54490887148077
0.313920914475393,0.0287244648922137,0.0520912317872904,CDK5,1.04196840687332,1.54174805303214
