MWRT,NOT,LEN,BTZ,LBH
"287.20879,13.786",36877899.04,0,263549966.4,0
"353.07991,13.787",52970464.3,0,21265192.96,0
"312.19267,13.788",454236874.8,0,175477138.3,0
"522.24863,13.788",27379112.85,0,43841542.99,0
"150.06771,13.79",2165671044,0,2802877016,0
"140.08335,13.79",785704471.9,0,984605050.7,0
"120.09393,13.797",69332166.13,0,100026396.6,0
"295.17851,13.8",1126745216,0,1473493821,0
"132.09377,13.8",85908887.62,0,46448779.56,0
"175.09928,13.801",57601002.33,0,26471769.53,0
"221.10479,13.802",204320017.7,0,199458698.1,0
"175.09952,13.802",54991892.4,0,45874201.63,0
"363.16621,13.802",26967844.35,22118056.8,19731893.32,0
"168.15079,13.825",46567779.89,0,39301186.01,0
"166.13561,13.828",55098748.31,0,98624365.3,0
"373.22133,13.841",31223538.47,0,16457981.35,0
"329.18312,13.842",61820131.16,0,43717377.08,0
"180.1146,13.847",20837182.23,0,51007673.78,0
"929.32102,13.85",36287048.79,0,63068287.95,0
"630.28757,13.852",12779663.65,0,8780638.19,0
"180.11478,13.855",37032633.77,0,52033763.54,0
"463.30498,13.891",16459791.92,0,16264621.03,0
"246.1831,13.892",21124107.84,0,22054521.77,0
"208.18213,13.903",98821653.89,0,93115701.79,0
"172.03704,13.932",36595663.54,0,28274976.91,0
"195.08914,13.951",277776707.7,0,256963654.4,0
"374.05281,13.956",12765380.03,0,10371293.24,0
"122.10936,13.964",28666507.86,0,41459867.2,0
"256.20387,13.965",27083194.6,0,45093730.6,0
"301.15194,13.969",372930973.8,0,314250348.9,0
"106.04209,13.97",170364664.6,0,140550881.4,0
"271.0865,13.978",38208728.58,0,38998556.72,0
"162.03127,13.994",58576393.36,62536321.83,56396062.19,0
"1097.52463,13.996",26114919.35,0,17553780.28,124133286.9
"238.08367,14.012",232517491.1,0,207174713.4,0
"104.06281,14.013",173191557.7,0,207239634.6,0
"242.11519,14.015",279775413.4,0,422634546.1,0
"254.15136,14.016",3810509188,0,5955590293,0
"124.08897,14.016",618103375.5,0,956957292.7,0
"180.07841,14.017",1541422415,0,2005864165,0
"110.03668,14.017",133918613,0,86081102.03,0
"124.05143,14.017",124498784.2,0,56693198.45,0
"424.16951,14.018",21916471.18,0,15085217.08,0
"475.12758,14.018",16697891.43,0,10701381.65,0
"314.17196,14.041",80227738.83,0,104508184.5,0
"240.09962,14.042",234653698.4,0,98923575.97,0
"314.17292,14.046",745247483.9,0,431490906.9,0
"196.10942,14.05",113230136.3,0,62996338.97,0
"196.1094,14.052",55886373.46,0,47370249.38,0
"270.18315,14.054",106262464.9,0,69272959.43,0
"283.17839,14.054",24620091.64,0,24248242.9,0
"270.18315,14.055",61194187.15,0,52337351.22,0
"148.05232,14.067",7186351447,0,8972148856,9425255098
"184.07338,14.092",52284857.4,0,30653910.33,0
"174.10407,14.113",88529614.1,0,26321623.03,0
"124.0524,14.117",654144356.3,0,331757694.4,0
"441.12107,14.12",20990481.17,0,21325331.31,0
"278.18825,14.122",73920190.99,0,71889715.38,0
"378.18919,14.129",11323635.43,0,14742861.51,0
"346.16286,14.13",14981157.12,0,5580360.476,0
"180.0418,14.131",1277205775,0,954040357.1,0
"254.11507,14.132",1619441904,0,1076030438,0
"152.04717,14.133",710291588.8,0,751302305.7,0
"274.10548,14.134",34474898.72,0,17867997.2,0
"541.32359,14.142",52209157.61,0,91896810.14,0
"384.14551,14.142",33534791.13,0,28076623.78,0
"286.17736,14.181",10377102.08,0,8529181.724,0
"196.14498,14.185",40138497.74,0,33572658.64,0
"186.10396,14.194",33753519.03,0,33245700.35,0
"210.10417,14.195",7777448.13,0,7508776.828,0
"368.21995,14.206",9245213.23,0,9509707.49,0
"285.22981,14.209",13973289.02,0,13608082.71,0
"277.20366,14.212",151570478.9,0,125538881,0
"255.21929,14.216",17328352.73,0,19610582.87,0
"348.24077,14.228",13743040.28,0,28881923.63,0
"411.26228,14.239",140967818.6,0,395986632.6,0
"220.10965,14.257",167015664.8,0,131610069,0
"163.13582,14.26",146779646.4,0,89138653.12,0
"510.33013,14.264",22796806.49,0,90221850.68,0
"608.32267,14.286",8131354.326,0,4111086.616,0
"350.25636,14.293",14960153.4,0,8700293.575,0
"300.2303,14.294",37851488.25,0,9207576.354,0
"138.06795,14.304",635351913.4,0,546637457,0
"328.22514,14.304",113530739.1,0,72594043.19,0
"156.07854,14.305",181215459.2,0,34067535.5,0
"218.13045,14.313",243391657.9,0,181426160.4,0
"423.2625,14.315",11440433.74,0,331592229.7,0
"226.13565,14.325",6674750.261,0,26285236.69,0
