"F3.BTZ","F4.BTZ2","F6.BTZ3","F7.BTZ4","F8.BTZ5","F11.BTZ9","F12.BTZ10","F13.BTZ11","F14.LBH","F15.LBH2","F16.LBH3","F17.LBH4","F18.LBH5","F19.LBH6","F22.LBH9","F23.LBH10","F24.LBH11","F1.LEN","F25.LEN2","F26.LEN3","F27.LEN4","F28.LEN5","F29.LEN6","F30.LEN7","F32.LEN9","F33.LEN10","F34.LEN11","F35.NOT","F36.NOT2","F37.NOT3","F38.NOT4","F39.NOT5","F40.NOT6","F41.NOT7","F43.NOT9","F44.NOT10"
"11",31.9769760879892,31.7596699834048,31.632891004653,31.8207961067697,32.1871319910658,31.8039308313484,31.7783755748313,31.7699187100283,31.8964132489495,31.8742626915425,32.1399617814081,32.091506623006,32.0931748079526,31.8099493625122,31.7549905976998,32.2415358618338,32.0076087405202,32.0850737676225,31.889348386966,32.0008959031104,31.6937850337935,31.8734434415351,32.0570348898079,32.0981487893957,32.0376033159393,32.0781206607591,32.0479142157952,32.1222221622498,31.8926179126171,31.6137109789002,32.0841433865476,32.0155763704331,31.8276357229155,31.9808185319094,31.8664049068398,31.9322628098507
"12",31.8595740473448,31.7123373989402,31.5998654144814,31.6289408000191,31.7430976045355,31.7187199741326,31.6126610813716,31.6042042165686,31.5090615883679,31.7316335837046,31.8647395687764,31.9216492135829,32.0848011518577,31.7550685457749,31.716604890952,32.0521725446746,31.9851826916083,31.9286080973618,31.8489251726422,31.8438882439188,31.6374849501532,31.7880546965108,32.0096841575477,32.0560547617068,32.0320474540419,31.9758558476247,32.0286227228301,32.120122636103,31.7753866992021,31.4859164287999,32.0176491095078,31.9851346110797,31.806752005475,31.8782468269151,31.7378935369736,31.79946607557
"13",31.7920365361378,31.5799080336801,31.5888073263915,31.6214827355783,31.7068303221732,31.5250381359209,31.5826526894947,31.5741958246917,31.504625501765,31.534554971644,31.8178310355388,31.8888503118787,32.0057939033618,31.7038915921593,31.6726682546228,32.017313256952,31.8927617814039,31.8423332905166,31.7993023810869,31.7810982533199,31.6135437343997,31.7553066949199,31.9854211049463,32.0401448466782,31.9905102596531,31.9347285157605,32.0164409692371,32.0976221533191,31.709351574188,31.4650056194392,31.9953036543755,31.9324930353497,31.6922255994956,31.7767976808841,31.6304609890249,31.7248599668409
"14",31.7513147488575,31.2996637454932,31.4982846513238,31.4449468363495,31.6248062763744,31.458427149684,31.3173061196983,31.3088492548953,31.4735391397089,31.4755089786903,31.6413470040108,31.7454742991899,32.0053925948172,31.607129449758,31.5917908960165,31.6827613603978,31.8383296696315,31.6285625577474,31.7679856832922,31.6559192392086,31.6072688552606,31.6876546134053,31.8905245933591,31.9598013372663,31.9064403074143,31.8481174151672,31.9817538933964,32.0435613110658,31.6940694920429,31.4648991504662,31.8125479314027,31.8440463729392,31.6147775675186,31.7747943885162,31.3087563253504,31.6388727780798
"15",31.7443406594346,31.2203231966636,31.4584920609268,31.3686918007918,31.5331223962257,31.447774228272,31.2384600696669,31.2300032048639,31.4673563082843,31.4696741594714,31.6103672718122,31.6580382945409,32.0004992881151,31.5837453407764,31.5525059262096,31.6144109698932,31.8265412358487,31.6141766545663,31.761576650921,31.5842335877078,31.4388043828945,31.6417220477092,31.8195413561412,31.8345818689523,31.8301130309117,31.7541917050884,31.9484908392019,32.0407194999637,31.6795950552914,31.4066174012554,31.7413844378434,31.8295432355028,31.5945748707026,31.7252806085453,31.2674050048355,31.5422176839729
"16",31.617719141503,31.2103564502186,31.453553796837,31.3667221547445,31.4781128486814,31.3841897206221,31.143012173872,31.134555309069,31.4215937209884,31.3992563084591,31.545997447118,31.6421912971088,31.9177439700728,31.5139073038185,31.5056704399019,31.5474674131199,31.8248808121321,31.5818712035418,31.712515284106,31.575500991418,31.4381549272825,31.6215395012404,31.7356378157377,31.7073242441346,31.7881795298178,31.5126751405575,31.7765042706202,31.9929395724504,31.6539164861974,31.2659975618622,31.6051043014601,31.7310403077318,31.586354742743,31.7015285834465,31.2635476772068,31.480299898597
"17",31.6057696762547,31.1001406493342,31.4361334704611,31.3245608049534,31.4185928218614,31.3670575824586,31.0951397680434,31.0866829032403,31.4061912188021,31.3916317659053,31.5307236785447,31.5632595488676,31.7689237347772,31.4896408471753,31.3992823468125,31.5014229232449,31.7032466409435,31.5791993118093,31.7024854875041,31.4702560042774,31.4009675728937,31.5614924322569,31.7334108374687,31.668870479423,31.7695456222185,31.4687881485572,31.7495171085684,31.9848115942902,31.6494315024951,31.2479489545605,31.5527490524329,31.3617926339973,31.5271487395612,31.5864364454754,31.2438780450784,31.4597373882185
"18",31.5949929497746,31.0995875064673,31.3450448587305,31.2572821599431,31.3458058745076,31.3575125136548,31.051459925538,31.043003060735,31.3760014191902,31.2998473718934,31.4174480565667,31.4348004756244,31.6966561462808,31.4480400753363,31.3052510993009,31.3910840981612,31.5838498718442,31.4595343722483,31.5005791598685,31.4668822473641,31.3455906143041,31.4488395030484,31.699847039786,31.6516730273217,31.7321523647351,31.4665497750882,31.6000080521156,31.9635271803433,31.4783886765989,31.1601885926912,31.5477092249002,31.3393374836597,31.4511315312283,31.545756310553,31.214756696814,31.3942254232105
"19",31.397315843166,31.033050902803,31.250839102013,31.1857739673705,31.3063176565982,31.2950162844578,31.0453805348249,31.0369236700219,31.356538760264,31.2981649889299,31.4166205653353,31.4188512241606,31.6896906322675,31.4064002780546,31.1863134016315,31.3297366440162,31.5092119140287,31.4055708254149,31.4932181845138,31.4596313643905,31.3422232072971,31.4448068615547,31.4909669329672,31.6283178300069,31.6336836902922,31.4535851649363,31.587305862391,31.6572108888206,31.4342730763284,31.1358581544926,31.5047492322855,31.2457855991209,31.4451992227909,31.4695974796497,31.1262734590042,31.2320607735956
"20",31.371697730865,30.9826819628815,31.2091132326695,31.1104574732535,31.2965443566117,31.2937788733637,31.0238051655608,31.0153483007577,31.2848039479509,31.2877119475182,31.3533370314253,31.4016133517642,31.5457873780491,31.288802044676,31.1157722785203,31.2789089096441,31.4986858134411,31.3596704020435,31.3589572886425,31.4174949210808,31.3005951488758,31.4441240698084,31.3774211035873,31.5960498117174,31.608782356229,31.3992274461875,31.3925939514204,31.5357548579225,31.4035752257459,31.06373891359,31.4349458805298,31.2129386811984,31.2955254319122,31.4489807659384,31.1216619441454,31.1888833632969
