Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,Area,Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,Area,Study File ID,Sample,"WT,RT",Enrichment
TRUE,312.27684,11.153,0.112,2,1,30990273.24,F42,NOT,"312.27684,11.153",TRUE,312.27684,11.153,0.112,2,1,11219012.79,F28,LEN,"312.27684,11.153",0.362017227
TRUE,783.48136,11.186,0.099,3,1,12688476.59,F38,NOT,"783.48136,11.186",TRUE,783.48136,11.186,0.085,3,1,21387742.1,F27,LEN,"783.48136,11.186",1.685603622
TRUE,326.25655,11.224,0.149,2,1,35987844.03,F35,NOT,"326.25655,11.224",TRUE,326.25655,11.224,0.118,2,1,23562845.34,F1,LEN,"326.25655,11.224",0.654744567
TRUE,551.39249,11.232,0.081,2,1,9241297.7,F39,NOT,"551.39249,11.232",TRUE,551.39249,11.232,0.081,2,1,11640593.63,F27,LEN,"551.39249,11.232",1.259627599
TRUE,844.53324,11.247,0.09,3,1,22156836.44,F41,NOT,"844.53324,11.247",TRUE,844.53324,11.247,0.09,3,1,17819738.4,F33,LEN,"844.53324,11.247",0.804254635
TRUE,264.21941,11.251,0.128,2,1,32821061.73,F44,NOT,"264.21941,11.251",TRUE,264.21941,11.251,0.131,2,1,49074050.67,F34,LEN,"264.21941,11.251",1.495199975
TRUE,211.15662,11.254,0.091,2,1,14870996.86,F45,NOT,"211.15662,11.254",TRUE,211.15662,11.254,0.088,2,1,15514760.11,F32,LEN,"211.15662,11.254",1.043289852
TRUE,694.31113,11.258,0.202,5,1,84950777.48,F45,NOT,"694.31113,11.258",TRUE,694.31113,11.258,0.184,6,1,147051214.9,F33,LEN,"694.31113,11.258",1.731016705
TRUE,237.99242,11.312,0.147,2,2,33144598.95,F38,NOT,"237.99242,11.312",TRUE,237.99242,11.312,0.113,2,2,49443927.49,F25,LEN,"237.99242,11.312",1.491764241
TRUE,229.18273,11.313,0.116,3,1,113107776.3,F39,NOT,"229.18273,11.313",TRUE,229.18273,11.313,0.116,3,1,129498675.1,F25,LEN,"229.18273,11.313",1.144913987
TRUE,207.18294,11.322,0.167,2,1,317354535.1,F44,NOT,"207.18294,11.322",TRUE,207.18294,11.322,0.18,3,1,396965904.3,F34,LEN,"207.18294,11.322",1.250859403
TRUE,339.23989,11.347,0.129,3,3,2078352449,F42,NOT,"339.23989,11.347",TRUE,339.23989,11.347,0.133,3,2,479025053.5,F32,LEN,"339.23989,11.347",0.23048307
TRUE,108.06879,11.352,0.148,2,1,66076610.72,F45,NOT,"108.06879,11.352",TRUE,108.06879,11.352,0.138,2,1,56270863.87,F34,LEN,"108.06879,11.352",0.851600336
TRUE,898.53348,11.354,0.097,2,1,17317418.46,F39,NOT,"898.53348,11.354",TRUE,898.53348,11.354,0.085,2,1,22739047.45,F26,LEN,"898.53348,11.354",1.313073741
TRUE,336.20391,11.357,0.13,2,1,112112726.6,F42,NOT,"336.20391,11.357",TRUE,336.20391,11.357,0.154,2,1,32427669.85,F34,LEN,"336.20391,11.357",0.289241648
TRUE,118.07826,11.384,0.095,3,1,991037816.3,F41,NOT,"118.07826,11.384",TRUE,118.07826,11.384,0.095,3,1,621506180,F33,LEN,"118.07826,11.384",0.627126604
TRUE,131.93762,11.384,0.087,4,1,79984428.35,F35,NOT,"131.93762,11.384",TRUE,131.93762,11.384,0.097,3,1,90666217.58,F25,LEN,"131.93762,11.384",1.13354836
TRUE,151.92746,11.386,0.102,2,1,18572124.47,F43,NOT,"151.92746,11.386",TRUE,151.92746,11.386,0.088,2,1,27459337.52,F30,LEN,"151.92746,11.386",1.47852431
TRUE,118.07833,11.387,0.092,3,2,1272543624,F37,NOT,"118.07833,11.387",TRUE,118.07833,11.387,0.092,3,1,1047881550,F27,LEN,"118.07833,11.387",0.823454324
TRUE,102.9481,11.39,0.095,3,2,1784148741,F41,NOT,"102.9481,11.39",TRUE,102.9481,11.39,0.094,3,2,1173889214,F33,LEN,"102.9481,11.39",0.657954792
TRUE,456.28273,11.399,0.154,2,1,41188329.14,F39,NOT,"456.28273,11.399",TRUE,456.28273,11.399,0.151,2,1,38914559.79,F29,LEN,"456.28273,11.399",0.944795786
TRUE,255.18294,11.402,0.12,2,1,19650650.29,F40,NOT,"255.18294,11.402",TRUE,255.18294,11.402,0.128,2,1,22171540.95,F28,LEN,"255.18294,11.402",1.128285356
TRUE,149.12029,11.403,0.105,2,1,18809846.31,F40,NOT,"149.12029,11.403",TRUE,149.12029,11.403,0.095,2,1,14107633.27,F25,LEN,"149.12029,11.403",0.750013213
TRUE,135.10466,11.409,0.122,2,1,53950915.6,F40,NOT,"135.10466,11.409",TRUE,135.10466,11.409,0.119,2,1,48496735.55,F27,LEN,"135.10466,11.409",0.898904773
TRUE,135.10457,11.414,0.11,2,1,59735835.43,F45,NOT,"135.10457,11.414",TRUE,135.10457,11.414,0.116,2,1,61359723.46,F30,LEN,"135.10457,11.414",1.027184487
TRUE,155.09453,11.415,0.1,2,2,43044974.8,F37,NOT,"155.09453,11.415",TRUE,155.09453,11.415,0.093,2,2,119548811,F25,LEN,"155.09453,11.415",2.777300058
TRUE,155.09389,11.426,0.103,2,1,54296031.56,F39,NOT,"155.09389,11.426",TRUE,155.09389,11.426,0.115,2,1,166350671.1,F1,LEN,"155.09389,11.426",3.063772182
TRUE,340.27175,11.431,0.145,2,1,195975342.1,F42,NOT,"340.27175,11.431",TRUE,340.27175,11.431,0.143,2,1,52134815.54,F33,LEN,"340.27175,11.431",0.266027425
TRUE,651.38506,11.44,0.091,2,1,19552841.02,F38,NOT,"651.38506,11.44",TRUE,651.38506,11.44,0.086,2,1,8493642.869,F29,LEN,"651.38506,11.44",0.434394309
TRUE,547.35613,11.446,0.068,2,1,17357109.82,F36,NOT,"547.35613,11.446",TRUE,547.35613,11.446,0.08,2,1,19619970.29,F28,LEN,"547.35613,11.446",1.13037081
