Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,"Area, NOT",Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,AreaBTZ,Study File ID,Sample,"WT,RT",Enrichment
TRUE,604.36548,11.227,0.088,3,4,129706566.2,F41,NOT,"604.36548,11.227",TRUE,604.36548,11.227,0.087,3,3,74681776.85,F12,BTZ,"604.36548,11.227",0.575774836
TRUE,141.11511,11.347,0.133,2,1,60741517.49,F44,NOT,"141.11511,11.347",TRUE,141.11511,11.347,0.142,2,1,53258431.11,F12,BTZ,"141.11511,11.347",0.876804422
TRUE,188.9595,11.382,0.095,2,1,14047777.97,F35,NOT,"188.9595,11.382",TRUE,188.9595,11.382,0.089,2,1,17369414.79,F4,BTZ,"188.9595,11.382",1.236452827
TRUE,131.9376,11.388,0.094,2,1,63369901.49,F39,NOT,"131.9376,11.388",TRUE,131.9376,11.388,0.099,2,1,92017470.09,F4,BTZ,"131.9376,11.388",1.45206901
TRUE,115.94263,11.389,0.094,3,1,504838177,F40,NOT,"115.94263,11.389",TRUE,115.94263,11.389,0.094,3,1,569032285.8,F6,BTZ,"115.94263,11.389",1.127157794
TRUE,117.94082,11.389,0.095,2,1,321580718.8,F37,NOT,"117.94082,11.389",TRUE,117.94082,11.389,0.094,2,1,258444915.9,F6,BTZ,"117.94082,11.389",0.803670434
TRUE,245.17732,11.389,0.087,2,1,24969935.31,F44,NOT,"245.17732,11.389",TRUE,245.17732,11.389,0.104,2,1,17527825.48,F12,BTZ,"245.17732,11.389",0.701957184
TRUE,204.87594,11.39,0.054,2,1,12036826.72,F40,NOT,"204.87594,11.39",TRUE,204.87594,11.39,0.059,2,1,12766493.16,F6,BTZ,"204.87594,11.39",1.060619502
TRUE,243.14638,11.433,0.161,2,1,46343524.48,F45,NOT,"243.14638,11.433",TRUE,243.14638,11.433,0.129,2,1,24777204.76,F11,BTZ,"243.14638,11.433",0.534642219
TRUE,162.06772,11.444,0.105,2,1,103225615.6,F44,NOT,"162.06772,11.444",TRUE,162.06772,11.444,0.107,2,1,101675986.6,F11,BTZ,"162.06772,11.444",0.984987941
TRUE,192.07842,11.487,0.127,2,1,25633824.49,F40,NOT,"192.07842,11.487",TRUE,192.07842,11.487,0.118,2,1,24333662.18,F4,BTZ,"192.07842,11.487",0.949279425
TRUE,561.3355,11.489,0.082,2,1,22977001.87,F36,NOT,"561.3355,11.489",TRUE,561.3355,11.489,0.081,2,1,20802047.47,F5,BTZ,"561.3355,11.489",0.905342115
TRUE,304.15174,11.498,0.098,2,3,186339089.7,F36,NOT,"304.15174,11.498",TRUE,304.15174,11.498,0.079,2,3,136270936.2,F3,BTZ,"304.15174,11.498",0.731306225
TRUE,258.12514,11.552,0.1,2,1,12472232.95,F40,NOT,"258.12514,11.552",TRUE,258.12514,11.552,0.097,2,1,13051603.12,F6,BTZ,"258.12514,11.552",1.046452802
TRUE,369.2357,11.555,0.101,2,1,10887140.38,F38,NOT,"369.2357,11.555",TRUE,369.2357,11.555,0.091,2,1,15815620.38,F3,BTZ,"369.2357,11.555",1.452688202
TRUE,405.34441,11.562,0.121,2,1,45847905.27,F41,NOT,"405.34441,11.562",TRUE,405.34441,11.562,0.131,2,1,34963663.88,F8,BTZ,"405.34441,11.562",0.762601119
