P60174,TPI1
P11310,ACADM
Q9BY44,EIF2A
Q99447,PCYT2
Q8N806,UBR7
Q9NYF8,BCLAF1
P46777,RPL5
P14866,HNRNPL
Q96HE7,ERO1A
P10412,H1-4
O00410,IPO5
P62249,RPS16
P25398,RPS12
Q5JXB2,UBE2NL
P23193,TCEA1
Q13838,DDX39B
P62826,RAN
P48506,GCLC
P55160,NCKAP1L
P61758,VBP1
P50552,VASP
O43143,DHX15
Q14240,EIF4A2
P00813,ADA
P18124,RPL7
P08133,ANXA6
P26373,RPL13
Q86UX7,FERMT3
P37837,TALDO1
P40925,MDH1
P42574,CASP3
O43396,TXNL1
Q2TAY7,SMU1
P28062,PSMB8
Q14019,COTL1
Q15029,EFTUD2
P41252,IARS1
P22392,NME2
P04075,ALDOA
O14744,PRMT5
P63104,YWHAZ
P26641,EEF1G
Q9UI26,IPO11
Q14203,DCTN1
Q7Z6Z7,HUWE1
Q99729,HNRNPAB
P31948,STIP1
O95373,IPO7
Q00688,FKBP3
P48643,CCT5
P61254,RPL26
Q9NVX2,NLE1
Q07955,SRSF1
P05455,SSB
P14868,DARS1
Q9H4A4,RNPEP
P26196,DDX6
Q00610,CLTC
P61247,RPS3A
Q15084,PDIA6
P21399,ACO1
P50502,ST13
P27635,RPL10
B5ME19,EIF3CL
P28066,PSMA5
O14929,HAT1
Q9ULV4,CORO1C
P60228,EIF3E
O95865,DDAH2
P62280,RPS11
Q5MIZ7,PPP4R3B
P40121,CAPG
P33991,MCM4
Q92900,UPF1
O76021,RSL1D1
P50990,CCT8
P62899,RPL31
O14562,UBFD1
P15311,EZR
Q15257,PTPA
P33993,MCM7
Q27J81,INF2
P25788,PSMA3
P61204,ARF3
P53999,SUB1
O15355,PPM1G
P52306,RAP1GDS1
Q13242,SRSF9
P18669,PGAM1
P50991,CCT4
Q16222,UAP1
Q9Y2V2,CARHSP1
Q9Y5L0,TNPO3
P16989,YBX3
Q8WZA9,IRGQ
Q13451,FKBP5
Q9UHY7,ENOPH1
P61513,RPL37A
Q13200,PSMD2
Q99879,H2BC14
Q8WYJ6,SEPTIN1
Q9UBT2,UBA2
P61086,UBE2K
O75390,CS
P60866,RPS20
Q15181,PPA1
Q9UK76,JPT1
P13796,LCP1
O75822,EIF3J
Q13951,CBFB
Q99460,PSMD1
P60520,GABARAPL2
P62917,RPL8
Q96CW1,AP2M1
P55209,NAP1L1
P11766,ADH5
P16949,STMN1
P62847,RPS24
P62979,RPS27A
P62269,RPS18
P15104,GLUL
P42167,TMPO
P25789,PSMA4
Q9BRA2,TXNDC17
O95433,AHSA1
P28070,PSMB4
P07814,EPRS1
P61353,RPL27
O75531,BANF1
P60510,PPP4C
Q9UKV3,ACIN1
Q8WUM4,PDCD6IP
P62851,RPS25
P28065,PSMB9
P04406,GAPDH
P10768,ESD
P12955,PEPD
P78527,PRKDC
P47897,QARS1
O95218,ZRANB2
O75533,SF3B1
Q00534,CDK6
P11216,PYGB
Q8NCW5,NAXE
Q9UPT8,ZC3H4
P17096,HMGA1
P84103,SRSF3
Q14141,SEPTIN6
P31150,GDI1
P67809,YBX1
Q99536,VAT1
P60891,PRPS1
P07737,PFN1
Q63HN8,RNF213
Q9NWT6,HIF1AN
Q06124,PTPN11
Q9UNZ2,NSFL1C
P30086,PEBP1
P00367,GLUD1
Q96QK1,VPS35
P61978,HNRNPK
P62263,RPS14
Q06210,GFPT1
P49591,SARS1
P46781,RPS9
P53396,ACLY
O15371,EIF3D
Q13185,CBX3
Q99426,TBCB
Q9NZT2,OGFR
Q04917,YWHAH
Q9H2U2,PPA2
P37802,TAGLN2
P26599,PTBP1
P06454,PTMA
Q9NUQ9,CYRIB
Q15185,PTGES3
Q06830,PRDX1
P31689,DNAJA1
Q99598,TSNAX
P21333,FLNA
O95757,HSPA4L
Q08945,SSRP1
O75663,TIPRL
P49593,PPM1F
P28074,PSMB5
Q8NBS9,TXNDC5
O15372,EIF3H
P43358,MAGEA4
P68036,UBE2L3
P62993,GRB2
P53041,PPP5C
P14151,SELL
Q13642,FHL1
Q7Z5R6,APBB1IP
P23921,RRM1
Q12874,SF3A3
O94985,CLSTN1
P30419,NMT1
P33176,KIF5B
Q8IYS1,PM20D2
Q92804,TAF15
P63000,RAC1
Q9Y3U8,RPL36
Q9HC38,GLOD4
Q99733,NAP1L4
Q96P63,SERPINB12
P08123,COL1A2
P62888,RPL30
P00491,PNP
P48739,PITPNB
Q13098,GPS1
Q15046,KARS1
P30153,PPP2R1A
P52566,ARHGDIB
Q96KP4,CNDP2
P29218,IMPA1
Q14847,LASP1
P51149,RAB7A
P48147,PREP
P07741,APRT
P05387,RPLP2
P62277,RPS13
O60234,GMFG
P61604,HSPE1
Q9NQR4,NIT2
P62701,RPS4X
O75347,TBCA
Q9Y294,ASF1A
Q9UJU6,DBNL
O94776,MTA2
P11413,G6PD
P61326,MAGOH
P55884,EIF3B
P25311,AZGP1
P32119,PRDX2
P49321,NASP
P26639,TARS1
P61981,YWHAG
Q14152,EIF3A
P26640,VARS1
Q16181,SEPTIN7
Q9UI08,EVL
P31146,CORO1A
Q13561,DCTN2
P11940,PABPC1
P55036,PSMD4
P28072,PSMB6
P54136,RARS1
Q5T4S7,UBR4
P27695,APEX1
Q9Y2W1,THRAP3
O75821,EIF3G
P51858,HDGF
Q3LXA3,TKFC
Q8N257,H2BU1
Q9UQ35,SRRM2
Q8NC51,SERBP1
Q01813,PFKP
Q9P258,RCC2
Q9P2E9,RRBP1
P49247,RPIA
Q15691,MAPRE1
Q10471,GALNT2
O15067,PFAS
O43583,DENR
P00390,GSR
Q96GD0,PDXP
P35579,MYH9
P22314,UBA1
O43776,NARS1
P39748,FEN1
P28838,LAP3
P13639,EEF2
P30566,ADSL
Q9NRX4,PHPT1
P62258,YWHAE
O14745,SLC9A3R1
O95989,NUDT3
P07900,HSP90AA1
P30520,ADSS2
Q9NQ29,LUC7L
Q14566,MCM6
P20700,LMNB1
Q14697,GANAB
Q16629,SRSF7
Q06203,PPAT
Q9UL46,PSME2
Q9NY27,PPP4R2
Q9HB71,CACYBP
Q92598,HSPH1
P17812,CTPS1
P23368,ME2
P19174,PLCG1
P23246,SFPQ
Q9UNN5,FAF1
